"Código","Inst_Previa","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
231,"NS/NR",93,25,35,21
464,"No",94,25,53,23
466,"No",91,19,53,21
480,"NS/NR",83,26,54,28
500,"No",116,32,57,25
504,"NS/NR",92,24,55,22
532,"No",73,18,54,16
957,"No",90,29,67,34
978,"No",78,19,51,20
1039,"No",85,28,72,31
1158,"No",53,11,45,17
1180,"No",76,24,50,16
1385,"No",62,17,52,17
1415,"No",66,29,53,27
1457,"No",62,23,52,15
2110,"No",71,21,41,25
2347,"No",50,26,68,19
2511,"No",83,22,46,20
2705,"Sí",102,22,63,23
2835,"NS/NR",121,29,64,36
2836,"NS/NR",133,31,73,36
2839,"Sí",134,32,65,26
2840,"Sí",132,24,50,19
2841,"Sí",100,27,57,20
2842,"Sí",117,30,61,24
2843,"Sí",99,30,61,23
2844,"Sí",112,29,64,24
2846,"Sí",131,24,60,23
2848,"Sí",125,33,51,25
2849,"Sí",143,35,75,28
2880,"Sí",127,35,56,24
2881,"Sí",109,22,62,25
2882,"Sí",124,20,47,20
2883,"Sí",107,24,55,19
2884,"Sí",125,35,62,23
2885,"Sí",119,33,62,23
2889,"No",105,29,58,24
2890,"Sí",92,28,58,22
2891,"Sí",138,34,59,30
2892,"Sí",132,27,70,29
2893,"Sí",107,28,74,29
2894,"Sí",103,27,72,30
2895,"Sí",146,34,74,31
2896,"Sí",108,20,62,28
2897,"Sí",124,32,64,32
2900,"Sí",114,30,66,28
2901,"Sí",82,28,53,29
2902,"Sí",133,34,76,32
2903,"Sí",135,31,68,31
2904,"Sí",99,18,62,27
2905,"Sí",144,33,73,31
2906,"Sí",119,31,65,30
2907,"Sí",119,30,66,31
2908,"Sí",129,31,75,31
2910,"Sí",121,32,73,24
2911,"Sí",152,33,76,28
2912,"Sí",90,31,72,21
2913,"Sí",128,27,76,25
2914,"Sí",134,34,43,23
2915,"Sí",100,29,70,25
2916,"Sí",149,32,71,27
2918,"Sí",130,31,64,28
2919,"Sí",117,29,58,18
2920,"Sí",143,32,63,28
2921,"Sí",132,28,46,27
2922,"Sí",110,21,51,22
2923,"Sí",133,28,46,20
2924,"Sí",141,32,54,20
2925,"Sí",144,31,67,27
2926,"Sí",108,28,57,17
2927,"Sí",147,30,51,24
2928,"Sí",121,31,65,29
2935,"NS/NR",128,30,74,36
2940,"Sí",155,33,77,30
2943,"No",136,28,57,22
2946,"NS/NR",137,33,57,21
2948,"NS/NR",79,26,44,17
2950,"NS/NR",135,29,48,20
2952,"NS/NR",118,30,40,18
2955,"NS/NR",115,26,40,15
2957,"NS/NR",93,23,46,17
2958,"NS/NR",128,23,46,19
2960,"Sí",129,26,68,29
2961,"NS/NR",104,30,55,17
2963,"Sí",58,17,50,20
2964,"Sí",126,30,59,28
2965,"Sí",85,28,49,24
2966,"Sí",110,15,46,23
2967,"NS/NR",134,32,53,19
2969,"Sí",130,32,66,26
2972,"Sí",143,33,57,24
2973,"Sí",145,31,66,30
2974,"Sí",142,33,68,29
2975,"Sí",99,27,57,23
2976,"Sí",145,32,75,31
2977,"Sí",121,31,62,26
2978,"Sí",125,27,54,20
2979,"Sí",154,35,76,30
2980,"Sí",88,32,70,23
2981,"Sí",115,30,69,25
2982,"NS/NR",144,32,60,21
2983,"Sí",116,32,58,25
2984,"Sí",112,29,38,19
2985,"Sí",109,28,36,20
2986,"No",125,30,54,23
2987,"Sí",93,34,76,30
2988,"Sí",85,19,51,18
2989,"Sí",85,20,34,17
2990,"Sí",155,36,73,31
2991,"Sí",152,36,72,31
3185,"NS/NR",129,28,72,36
3208,"No",93,30,68,24
3209,"Sí",120,31,61,25
3241,"NS/NR",103,30,62,26
3298,"NS/NR",145,31,57,28
3306,"NS/NR",96,24,46,24
3308,"NS/NR",132,29,69,34
3336,"No",156,35,72,30
3343,"No",79,15,45,22
3388,"No",102,32,70,33
3409,"NS/NR",109,30,59,24
3436,"No",125,32,69,29
3454,"No",92,30,66,24
3461,"No",73,29,66,24
3519,"Sí",143,32,77,30
2620,"No",87,24,53,24
2627,"Sí",134,33,71,33
2630,"No",126,30,69,33
2633,"Sí",130,32,66,31
2637,"Sí",113,28,63,26
2640,"Sí",129,30,77,34
2645,"Sí",129,28,64,30
2651,"Sí",112,27,62,25
2652,"Sí",107,30,60,26
2655,"Sí",121,27,68,31
2669,"Sí",120,29,76,31
2670,"No",105,26,63,29
2673,"No",149,35,70,32
2685,"Sí",101,29,58,26
2686,"Sí",117,29,62,31
2687,"Sí",113,23,58,28
2688,"No",108,31,67,32
2689,"No",121,28,54,29
2690,"Sí",139,25,71,33
2691,"No",121,28,64,30
2692,"No",131,34,68,35
2693,"No",96,22,58,28
2694,"Sí",112,28,62,27
2695,"No",117,30,66,30
2696,"No",139,23,69,32
2697,"Sí",88,26,63,23
2700,"No",130,28,70,35
2702,"Sí",116,26,66,27
2703,"No",105,33,71,31
2706,"Sí",107,29,66,32
2708,"No",128,32,71,34
2711,"Sí",123,25,66,31
2712,"No",122,32,72,33
2714,"No",136,29,64,33
2715,"Sí",103,24,61,24
2718,"Sí",114,31,62,25
2720,"No",125,33,67,33
2721,"Sí",83,22,57,19
2724,"Sí",120,29,73,25
2725,"Sí",110,31,70,28
2730,"Sí",121,29,66,27
2734,"Sí",114,28,65,29
2735,"Sí",140,31,77,34
2740,"Sí",101,21,55,23
2741,"Sí",136,35,77,33
2742,"Sí",111,30,72,27
2744,"Sí",142,34,72,32
2745,"No",131,28,68,33
2747,"Sí",98,24,64,27
2750,"Sí",132,33,74,36
2752,"Sí",111,31,65,28
2755,"Sí",95,23,62,27
2757,"Sí",86,20,59,18
2759,"Sí",76,20,61,18
2764,"Sí",117,30,71,30
2765,"Sí",120,32,75,30
2767,"No",143,32,67,29
2774,"Sí",115,27,70,32
2775,"Sí",78,28,62,27
2777,"Sí",114,29,68,28
2778,"Sí",97,25,69,28
2780,"Sí",120,27,71,30
2783,"Sí",110,28,70,31
2785,"Sí",125,25,75,31
3252,"NS/NR",107,33,65,25
3258,"NS/NR",87,30,59,22
3284,"NS/NR",93,28,56,23
3290,"Sí",73,24,55,19
1072,"No",146,36,67,34
939,"No",143,30,43,30
940,"No",145,31,44,30
3330,"NS/NR",98,31,54,22
3446,"NS/NR",86,27,59,19
2115,"No",50,22,54,13
2117,"No",59,23,53,24
534,"NS/NR",49,14,49,19
540,"Sí",71,23,56,23
287,"No",66,23,51,28
288,"No",83,25,53,28
1095,"Sí",57,20,52,15
